Region,Zip,City,County,Population,Therapists,PopPerTherapist
Other,22627,Flint Hill,Rappahannock County,945,1,945.0
Other,22546,Ruther Glen,Caroline County,18392,20,919.6
Other,22960,Orange,Orange County,11657,13,896.69
Other,22630,Front Royal,Warren County,35615,40,890.38
Other,22664,Woodstock,Shenandoah County,9293,11,844.82
Other,22560,Tappahannock,Essex County,6612,8,826.5
Other,22958,Nellysford,Nelson County,2306,3,768.67
Other,22551,Spotsylvania,Spotsylvania County,24146,35,689.89
Other,22655,Stephens City,Frederick County,22687,33,687.48
Other,22844,New Market,Shenandoah County,4677,7,668.14
Other,22812,Bridgewater,Rockingham County,10660,16,666.25
Other,24651,Tazewell,Tazewell County,5982,9,664.67
Other,22603,Winchester,Frederick County,17133,26,658.96
Other,22737,Rixeyville,Culpeper County,3465,6,577.5
Other,22935,Dyke,Greene County,575,1,575.0
Other,22406,Fredericksburg,Stafford County,27367,48,570.15
Other,22407,Fredericksburg,Spotsylvania County,65425,116,564.01
Other,22640,Huntly,Rappahannock County,556,1,556.0
Other,22408,Fredericksburg,Spotsylvania County,31586,57,554.14
Other,22405,Fredericksburg,Stafford County,36890,68,542.5
Other,22940,Free Union,Albemarle County,1066,2,533.0
Other,22815,Broadway,Rockingham County,8465,16,529.06
Other,22701,Culpeper,Culpeper County,38512,73,527.56
Other,22920,Afton,Nelson County,3608,7,515.43
Other,22968,Ruckersville,Greene County,11235,22,510.68
Other,22980,Waynesboro,Augusta County,32965,68,484.78
Other,22963,Palmyra,Fluvanna County,16896,36,469.33
Other,22535,Port Royal,Caroline County,460,1,460.0
Other,22553,Spotsylvania,Spotsylvania County,17207,38,452.82
Other,22947,Keswick,Albemarle County,5256,12,438.0
Other,22503,Lancaster,Lancaster County,4296,10,429.6
Other,22736,Richardsville,Culpeper County,844,2,422.0
Other,22936,Earlysville,Albemarle County,6983,17,410.76
Other,22939,Fishersville,Augusta County,6908,17,406.35
Other,22802,Harrisonburg,Rockingham County,30374,75,404.99
Other,22740,Sperryville,Rappahannock County,1179,3,393.0
Other,22611,Berryville,Clarke County,9276,25,371.04
Other,22602,Winchester,Frederick County,32840,96,342.08
Other,22480,Irvington,Lancaster County,898,3,299.33
Other,22554,Stafford,Stafford County,65494,222,295.02
Other,22972,Somerset,Orange County,290,1,290.0
Other,22601,Winchester,Winchester city,29230,109,268.17
Other,22432,Burgess,Northumberland County,256,1,256.0
Other,22807,Harrisonburg,Harrisonburg city,5347,21,254.62
Other,22911,Charlottesville,Albemarle County,19107,92,207.68
Other,22943,Greenwood,Albemarle County,402,2,201.0
Other,22801,Harrisonburg,Rockingham County,39983,206,194.09
Other,22738,Rochelle,Madison County,928,5,185.6
Other,22747,Washington,Rappahannock County,967,6,161.17
Other,22903,Charlottesville,Albemarle County,40372,266,151.77
Other,22931,Covesville,Albemarle County,145,1,145.0
Other,22904,Charlottesville,Albemarle County,5729,43,133.23
Other,22401,Fredericksburg,Fredericksburg city,28731,227,126.57
Other,22901,Charlottesville,Albemarle County,37237,303,122.89
Other,22932,Crozet,Albemarle County,9148,81,112.94
Other,22902,Charlottesville,Albemarle County,23486,320,73.39
Other,22641,Strasburg,Shenandoah County,165,3,55.0
Other,22989,Woodberry Forest,Madison County,49,1,49.0
Western/SW VA - Far Southwest,24260,Honaker,Russell County,5318,1,5318.0
Western/SW VA - Far Southwest,24279,Pound,Wise County,4671,1,4671.0
Western/SW VA - Far Southwest,24251,Gate City,Scott County,7937,2,3968.5
Western/SW VA - Far Southwest,24219,Big Stone Gap,Wise County,10450,3,3483.33
Western/SW VA - Far Southwest,24230,Coeburn,Wise County,6900,2,3450.0
Western/SW VA - Far Southwest,24236,Damascus,Washington County,3109,1,3109.0
Western/SW VA - Far Southwest,24256,Haysi,Dickenson County,2982,1,2982.0
Western/SW VA - Far Southwest,24277,Pennington Gap,Lee County,5839,2,2919.5
Western/SW VA - Far Southwest,24263,Jonesville,Lee County,5830,2,2915.0
Western/SW VA - Far Southwest,24273,Norton,Wise County,5593,2,2796.5
Western/SW VA - Far Southwest,24248,Ewing,Lee County,2207,1,2207.0
Western/SW VA - Far Southwest,24225,Cleveland,Russell County,1791,1,1791.0
Western/SW VA - Far Southwest,24202,Bristol,Washington County,12389,8,1548.62
Western/SW VA - Far Southwest,24243,Dryden,Lee County,1452,1,1452.0
Western/SW VA - Far Southwest,24266,Lebanon,Russell County,8688,6,1448.0
Western/SW VA - Far Southwest,24228,Clintwood,Dickenson County,6317,5,1263.4
Western/SW VA - Far Southwest,24245,Dungannon,Scott County,1053,1,1053.0
Western/SW VA - Far Southwest,24293,Wise,Wise County,9786,11,889.64
Western/SW VA - Far Southwest,24211,Abingdon,Washington County,10298,14,735.57
Western/SW VA - Far Southwest,24201,Bristol,Bristol city,15903,37,429.81
Western/SW VA - Far Southwest,24270,Mendota,Washington County,416,1,416.0
Western/SW VA - Far Southwest,24210,Abingdon,Washington County,16814,65,258.68
Western/SW VA - Mountain Region,24426,Covington,Alleghany County,13872,2,6936.0
Western/SW VA - Mountain Region,24422,Clifton Forge,Alleghany County,5334,1,5334.0
Western/SW VA - Mountain Region,24361,Meadowview,Washington County,4484,1,4484.0
Western/SW VA - Mountain Region,24315,Bland,Bland County,3978,1,3978.0
Western/SW VA - Mountain Region,24477,Stuarts Draft,Augusta County,11482,3,3827.33
Western/SW VA - Mountain Region,24421,Churchville,Augusta County,3450,1,3450.0
Western/SW VA - Mountain Region,24317,Cana,Carroll County,3409,1,3409.0
Western/SW VA - Mountain Region,24440,Greenville,Augusta County,2710,1,2710.0
Western/SW VA - Mountain Region,24348,Independence,Grayson County,4855,2,2427.5
Western/SW VA - Mountain Region,24340,Glade Spring,Washington County,6111,3,2037.0
Western/SW VA - Mountain Region,24482,Verona,Augusta County,5312,3,1770.67
Western/SW VA - Mountain Region,24319,Chilhowie,Smyth County,6997,4,1749.25
Western/SW VA - Mountain Region,24343,Hillsville,Carroll County,9210,6,1535.0
Western/SW VA - Mountain Region,24301,Pulaski,Pulaski County,13567,9,1507.44
Western/SW VA - Mountain Region,24360,Max Meadows,Wythe County,5750,4,1437.5
Western/SW VA - Mountain Region,24368,Rural Retreat,Wythe County,5574,4,1393.5
Western/SW VA - Mountain Region,24486,Weyers Cave,Augusta County,3739,3,1246.33
Western/SW VA - Mountain Region,24350,Ivanhoe,Wythe County,1130,1,1130.0
Western/SW VA - Mountain Region,24431,Crimora,Augusta County,2176,2,1088.0
Western/SW VA - Mountain Region,24378,Troutdale,Grayson County,1056,1,1056.0
Western/SW VA - Mountain Region,24416,Buena Vista,Rockbridge County,9082,9,1009.11
Western/SW VA - Mountain Region,24382,Wytheville,Wythe County,14582,16,911.38
Western/SW VA - Mountain Region,24471,Port Republic,Rockingham County,1768,2,884.0
Western/SW VA - Mountain Region,24435,Fairfield,Rockbridge County,1764,2,882.0
Western/SW VA - Mountain Region,24323,Crockett,Wythe County,798,1,798.0
Western/SW VA - Mountain Region,24333,Galax,Grayson County,17390,22,790.45
Western/SW VA - Mountain Region,24380,Willis,Floyd County,3088,4,772.0
Western/SW VA - Mountain Region,24354,Marion,Smyth County,13001,17,764.76
Western/SW VA - Mountain Region,24465,Monterey,Highland County,1403,2,701.5
Western/SW VA - Mountain Region,24487,Williamsville,Highland County,566,1,566.0
Western/SW VA - Mountain Region,24363,Mouth Of Wilson,Grayson County,1031,2,515.5
Western/SW VA - Mountain Region,24450,Lexington,Rockbridge County,17714,36,492.06
Western/SW VA - Mountain Region,24457,Low Moor,Alleghany County,425,1,425.0
Western/SW VA - Mountain Region,24401,Staunton,Augusta County,38756,116,334.1
Western/SW VA - Roanoke Area,24055,Bassett,Henry County,11814,2,5907.0
Western/SW VA - Roanoke Area,24088,Ferrum,Franklin County,5017,1,5017.0
Western/SW VA - Roanoke Area,24175,Troutville,Botetourt County,8128,3,2709.33
Western/SW VA - Roanoke Area,24134,Pearisburg,Giles County,5400,2,2700.0
Western/SW VA - Roanoke Area,24085,Eagle Rock,Botetourt County,2391,1,2391.0
Western/SW VA - Roanoke Area,24067,Callaway,Franklin County,2371,1,2371.0
Western/SW VA - Roanoke Area,24127,New Castle,Craig County,4392,2,2196.0
Western/SW VA - Roanoke Area,24101,Hardy,Franklin County,6185,3,2061.67
Western/SW VA - Roanoke Area,24054,Axton,Henry County,5957,3,1985.67
Western/SW VA - Roanoke Area,24095,Goodview,Bedford County,3962,2,1981.0
Western/SW VA - Roanoke Area,24171,Stuart,Patrick County,8268,5,1653.6
Western/SW VA - Roanoke Area,24138,Pilot,Montgomery County,1432,1,1432.0
Western/SW VA - Roanoke Area,24124,Narrows,Giles County,4042,3,1347.33
Western/SW VA - Roanoke Area,24121,Moneta,Bedford County,10315,8,1289.38
Western/SW VA - Roanoke Area,24078,Collinsville,Henry County,6438,5,1287.6
Western/SW VA - Roanoke Area,24053,Ararat,Patrick County,2414,2,1207.0
Western/SW VA - Roanoke Area,24089,Fieldale,Henry County,2265,2,1132.5
Western/SW VA - Roanoke Area,24174,Thaxton,Bedford County,2191,2,1095.5
Western/SW VA - Roanoke Area,24065,Boones Mill,Franklin County,6565,6,1094.17
Western/SW VA - Roanoke Area,24084,Dublin,Pulaski County,10604,10,1060.4
Western/SW VA - Roanoke Area,24149,Riner,Montgomery County,3986,4,996.5
Western/SW VA - Roanoke Area,24077,Cloverdale,Botetourt County,943,1,943.0
Western/SW VA - Roanoke Area,24069,Cascade,Pittsylvania County,1861,2,930.5
Western/SW VA - Roanoke Area,24112,Martinsville,Henry County,31028,36,861.89
Western/SW VA - Roanoke Area,24076,Claudville,Patrick County,801,1,801.0
Western/SW VA - Roanoke Area,24120,Meadows Of Dan,Patrick County,1591,2,795.5
Western/SW VA - Roanoke Area,24151,Rocky Mount,Franklin County,18154,23,789.3
Western/SW VA - Roanoke Area,24136,Pembroke,Giles County,3145,4,786.25
Western/SW VA - Roanoke Area,24017,Roanoke,Roanoke city,23678,31,763.81
Western/SW VA - Roanoke Area,24162,Shawsville,Montgomery County,2259,3,753.0
Western/SW VA - Roanoke Area,24179,Vinton,Bedford County,18773,26,722.04
Western/SW VA - Roanoke Area,24064,Blue Ridge,Bedford County,4875,7,696.43
Western/SW VA - Roanoke Area,24079,Copper Hill,Floyd County,1389,2,694.5
Western/SW VA - Roanoke Area,24132,Parrott,Pulaski County,694,1,694.0
Western/SW VA - Roanoke Area,24013,Roanoke,Roanoke city,8026,12,668.83
Western/SW VA - Roanoke Area,24184,Wirtz,Franklin County,4527,7,646.71
Western/SW VA - Roanoke Area,24102,Henry,Franklin County,1291,2,645.5
Western/SW VA - Roanoke Area,24012,Roanoke,Roanoke city,28235,45,627.44
Western/SW VA - Roanoke Area,24072,Check,Floyd County,1238,2,619.0
Western/SW VA - Roanoke Area,24019,Roanoke,Roanoke County,28585,50,571.7
Western/SW VA - Roanoke Area,24083,Daleville,Botetourt County,4948,9,549.78
Western/SW VA - Roanoke Area,24128,Newport,Giles County,1450,3,483.33
Western/SW VA - Roanoke Area,24153,Salem,Roanoke County,38914,87,447.29
Western/SW VA - Roanoke Area,24185,Woolwine,Patrick County,894,2,447.0
Western/SW VA - Roanoke Area,24150,Ripplemead,Giles County,883,2,441.5
Western/SW VA - Roanoke Area,24091,Floyd,Floyd County,7417,20,370.85
Western/SW VA - Roanoke Area,24142,Radford,Radford city,2205,6,367.5
Western/SW VA - Roanoke Area,24087,Elliston,Montgomery County,3941,11,358.27
Western/SW VA - Roanoke Area,24147,Rich Creek,Giles County,1352,4,338.0
Western/SW VA - Roanoke Area,24014,Roanoke,Roanoke County,15300,47,325.53
Western/SW VA - Roanoke Area,24141,Radford,Pulaski County,21484,66,325.52
Western/SW VA - Roanoke Area,24070,Catawba,Roanoke County,1271,4,317.75
Western/SW VA - Roanoke Area,24059,Bent Mountain,Roanoke County,893,3,297.67
Western/SW VA - Roanoke Area,24058,Belspring,Pulaski County,281,1,281.0
Western/SW VA - Roanoke Area,24073,Christiansburg,Montgomery County,29677,106,279.97
Western/SW VA - Roanoke Area,24061,Blacksburg,Montgomery County,9202,33,278.85
Western/SW VA - Roanoke Area,24167,Staffordsville,Giles County,275,1,275.0
Western/SW VA - Roanoke Area,24060,Blacksburg,Montgomery County,48541,180,269.67
Western/SW VA - Roanoke Area,24086,Eggleston,Giles County,263,1,263.0
Western/SW VA - Roanoke Area,24018,Roanoke,Roanoke County,38720,162,239.01
Western/SW VA - Roanoke Area,24015,Roanoke,Roanoke city,15865,67,236.79
Western/SW VA - Roanoke Area,24016,Roanoke,Roanoke city,10521,51,206.29
Western/SW VA - Roanoke Area,24129,New River,Pulaski County,114,1,114.0
Western/SW VA - Roanoke Area,24020,Roanoke,Roanoke County,583,7,83.29
Western/SW VA - Roanoke Area,24011,Roanoke,Roanoke city,784,17,46.12
Western/SW VA - Southern/Piedmont,24586,Ringgold,Pittsylvania County,4807,1,4807.0
Western/SW VA - Southern/Piedmont,24557,Gretna,Pittsylvania County,7678,2,3839.0
Western/SW VA - Southern/Piedmont,24528,Brookneal,Campbell County,3775,1,3775.0
Western/SW VA - Southern/Piedmont,24550,Evington,Campbell County,8190,3,2730.0
Western/SW VA - Southern/Piedmont,24563,Hurt,Pittsylvania County,5184,2,2592.0
Western/SW VA - Southern/Piedmont,24558,Halifax,Halifax County,6458,3,2152.67
Western/SW VA - Southern/Piedmont,24554,Gladys,Campbell County,3769,2,1884.5
Western/SW VA - Southern/Piedmont,24574,Monroe,Amherst County,3666,2,1833.0
Western/SW VA - Southern/Piedmont,24589,Scottsburg,Halifax County,1763,1,1763.0
Western/SW VA - Southern/Piedmont,24531,Chatham,Pittsylvania County,8695,5,1739.0
Western/SW VA - Southern/Piedmont,24517,Altavista,Campbell County,4996,3,1665.33
Western/SW VA - Southern/Piedmont,24534,Clover,Halifax County,1655,1,1655.0
Western/SW VA - Southern/Piedmont,24541,Danville,Pittsylvania County,28042,17,1649.53
Western/SW VA - Southern/Piedmont,24521,Amherst,Amherst County,10599,7,1514.14
Western/SW VA - Southern/Piedmont,24529,Buffalo Junction,Mecklenburg County,1345,1,1345.0
Western/SW VA - Southern/Piedmont,24588,Rustburg,Campbell County,8817,7,1259.57
Western/SW VA - Southern/Piedmont,24540,Danville,Pittsylvania County,31013,26,1192.81
Western/SW VA - Southern/Piedmont,24592,South Boston,Halifax County,14589,13,1122.23
Western/SW VA - Southern/Piedmont,24593,Spout Spring,Appomattox County,2162,2,1081.0
Western/SW VA - Southern/Piedmont,24590,Scottsville,Buckingham County,8229,8,1028.62
Western/SW VA - Southern/Piedmont,24572,Madison Heights,Amherst County,15744,16,984.0
Western/SW VA - Southern/Piedmont,24520,Alton,Halifax County,1931,2,965.5
Western/SW VA - Southern/Piedmont,24522,Appomattox,Appomattox County,10056,11,914.18
Western/SW VA - Southern/Piedmont,24556,Goode,Bedford County,2584,3,861.33
Western/SW VA - Southern/Piedmont,24515,Lynchburg,Lynchburg city,6391,11,581.0
Western/SW VA - Southern/Piedmont,24523,Bedford,Bedford County,20349,39,521.77
Western/SW VA - Southern/Piedmont,24538,Concord,Campbell County,4867,10,486.7
Western/SW VA - Southern/Piedmont,24578,Natural Bridge,Rockbridge County,457,1,457.0
Western/SW VA - Southern/Piedmont,24580,Nelson,Mecklenburg County,360,1,360.0
Western/SW VA - Southern/Piedmont,24503,Lynchburg,Bedford County,20419,65,314.14
Western/SW VA - Southern/Piedmont,24551,Forest,Bedford County,28554,103,277.22
Western/SW VA - Southern/Piedmont,24501,Lynchburg,Campbell County,25006,104,240.44
Western/SW VA - Southern/Piedmont,24504,Lynchburg,Campbell County,9632,41,234.93
Western/SW VA - Southern/Piedmont,24502,Lynchburg,Lynchburg city,41979,179,234.52
