Region,Zip,City,County,Population,Therapists,PopPerTherapist
Central/East VA - Peninsula/Hampton Roads,23605,Newport News,Newport News city,13332,20,666.6
Central/East VA - Peninsula/Hampton Roads,23661,Hampton,Hampton city,14005,23,608.91
Central/East VA - Peninsula/Hampton Roads,23701,Portsmouth,Portsmouth city,24298,42,578.52
Central/East VA - Peninsula/Hampton Roads,23703,Portsmouth,Portsmouth city,25610,45,569.11
Central/East VA - Peninsula/Hampton Roads,23669,Hampton,Hampton city,39884,72,553.94
Central/East VA - Peninsula/Hampton Roads,23602,Newport News,Newport News city,42265,82,515.43
Central/East VA - Peninsula/Hampton Roads,23604,Fort Eustis,Newport News city,4416,9,490.67
Central/East VA - Peninsula/Hampton Roads,23692,Yorktown,York County,19301,41,470.76
Central/East VA - Peninsula/Hampton Roads,23693,Yorktown,York County,23176,57,406.6
Central/East VA - Peninsula/Hampton Roads,23704,Portsmouth,Portsmouth city,19207,53,362.4
Central/East VA - Peninsula/Hampton Roads,23601,Newport News,Newport News city,26645,77,346.04
Central/East VA - Peninsula/Hampton Roads,23603,Newport News,Newport News city,3504,11,318.55
Central/East VA - Peninsula/Hampton Roads,23666,Hampton,Hampton city,54233,182,297.98
Central/East VA - Peninsula/Hampton Roads,23668,Hampton,Hampton city,723,3,241.0
Central/East VA - Peninsula/Hampton Roads,23651,Fort Monroe,Hampton city,439,2,219.5
Central/East VA - Peninsula/Hampton Roads,23690,Yorktown,York County,4597,31,148.29
Central/East VA - Peninsula/Hampton Roads,23606,Newport News,Newport News city,29971,228,131.45
Central/East VA - Peninsula/Hampton Roads,23708,Portsmouth,Portsmouth city,269,4,67.25
Central/East VA - Peninsula/Hampton Roads,23691,Yorktown,York County,464,8,58.0
Central/East VA - Richmond Area,23117,Mineral,Louisa County,10480,2,5240.0
Central/East VA - Richmond Area,23192,Montpelier,Hanover County,6629,2,3314.5
Central/East VA - Richmond Area,23024,Bumpass,Louisa County,11233,4,2808.25
Central/East VA - Richmond Area,23181,West Point,King William County,5565,2,2782.5
Central/East VA - Richmond Area,23089,Lanexa,New Kent County,4831,2,2415.5
Central/East VA - Richmond Area,23040,Cumberland,Cumberland County,4640,2,2320.0
Central/East VA - Richmond Area,23015,Beaverdam,Hanover County,4601,2,2300.5
Central/East VA - Richmond Area,23030,Charles City,Charles City County,4470,2,2235.0
Central/East VA - Richmond Area,23072,Hayes,Gloucester County,13328,6,2221.33
Central/East VA - Richmond Area,23150,Sandston,Henrico County,12544,6,2090.67
Central/East VA - Richmond Area,23009,Aylett,King William County,8270,4,2067.5
Central/East VA - Richmond Area,23140,Providence Forge,New Kent County,7755,4,1938.75
Central/East VA - Richmond Area,23071,Hartfield,Middlesex County,1879,1,1879.0
Central/East VA - Richmond Area,23146,Rockville,Hanover County,3451,2,1725.5
Central/East VA - Richmond Area,23084,Kents Store,Fluvanna County,1652,1,1652.0
Central/East VA - Richmond Area,23027,Cartersville,Cumberland County,1612,1,1612.0
Central/East VA - Richmond Area,23237,Richmond,Chesterfield County,27126,17,1595.65
Central/East VA - Richmond Area,23153,Sandy Hook,Goochland County,1586,1,1586.0
Central/East VA - Richmond Area,23038,Columbia,Goochland County,1471,1,1471.0
Central/East VA - Richmond Area,23102,Maidens,Goochland County,3605,3,1201.67
Central/East VA - Richmond Area,23138,Port Haywood,Mathews County,1198,1,1198.0
Central/East VA - Richmond Area,23109,Mathews,Mathews County,2327,2,1163.5
Central/East VA - Richmond Area,23086,King William,King William County,3777,4,944.25
Central/East VA - Richmond Area,23139,Powhatan,Powhatan County,27757,30,925.23
Central/East VA - Richmond Area,23141,Quinton,New Kent County,7814,9,868.22
Central/East VA - Richmond Area,23093,Louisa,Louisa County,14647,18,813.72
Central/East VA - Richmond Area,23120,Moseley,Chesterfield County,17586,23,764.61
Central/East VA - Richmond Area,23110,Mattaponi,King and Queen County,764,1,764.0
Central/East VA - Richmond Area,23061,Gloucester,Gloucester County,23308,34,685.53
Central/East VA - Richmond Area,23234,Richmond,Chesterfield County,47465,71,668.52
Central/East VA - Richmond Area,23070,Hardyville,Middlesex County,616,1,616.0
Central/East VA - Richmond Area,23149,Saluda,Middlesex County,2414,4,603.5
Central/East VA - Richmond Area,23224,Richmond,Richmond city,40575,70,579.64
Central/East VA - Richmond Area,23076,Hudgins,Mathews County,552,1,552.0
Central/East VA - Richmond Area,23175,Urbanna,Middlesex County,2053,4,513.25
Central/East VA - Richmond Area,23035,Cobbs Creek,Mathews County,1495,3,498.33
Central/East VA - Richmond Area,23002,Amelia Court House,Amelia County,10849,23,471.7
Central/East VA - Richmond Area,23231,Henrico,Henrico County,38544,88,438.0
Central/East VA - Richmond Area,23111,Mechanicsville,Hanover County,38070,87,437.59
Central/East VA - Richmond Area,23126,Newtown,King and Queen County,410,1,410.0
Central/East VA - Richmond Area,23004,Arvonia,Buckingham County,819,2,409.5
Central/East VA - Richmond Area,23103,Manakin Sabot,Goochland County,6922,17,407.18
Central/East VA - Richmond Area,23168,Toano,James City County,9673,24,403.04
Central/East VA - Richmond Area,23085,King And Queen Court House,King and Queen County,393,1,393.0
Central/East VA - Richmond Area,23116,Mechanicsville,Hanover County,34188,87,392.97
Central/East VA - Richmond Area,23128,North,Mathews County,367,1,367.0
Central/East VA - Richmond Area,23238,Henrico,Goochland County,26050,73,356.85
Central/East VA - Richmond Area,23124,New Kent,New Kent County,5147,15,343.13
Central/East VA - Richmond Area,23188,Williamsburg,James City County,45803,135,339.28
Central/East VA - Richmond Area,23227,Richmond,Henrico County,24925,79,315.51
Central/East VA - Richmond Area,23069,Hanover,Hanover County,3425,11,311.36
Central/East VA - Richmond Area,23063,Goochland,Goochland County,6164,20,308.2
Central/East VA - Richmond Area,23005,Ashland,Hanover County,19987,66,302.83
Central/East VA - Richmond Area,23059,Glen Allen,Hanover County,42522,157,270.84
Central/East VA - Richmond Area,23228,Henrico,Henrico County,36527,135,270.57
Central/East VA - Richmond Area,23075,Henrico,Henrico County,8347,31,269.26
Central/East VA - Richmond Area,23223,Richmond,Henrico County,54659,213,256.62
Central/East VA - Richmond Area,23055,Fork Union,Fluvanna County,1004,4,251.0
Central/East VA - Richmond Area,23225,Richmond,Richmond city,42771,174,245.81
Central/East VA - Richmond Area,23114,Midlothian,Chesterfield County,21631,92,235.12
Central/East VA - Richmond Area,23222,Richmond,Henrico County,26322,112,235.02
Central/East VA - Richmond Area,23060,Glen Allen,Henrico County,36497,171,213.43
Central/East VA - Richmond Area,23185,Williamsburg,James City County,55270,266,207.78
Central/East VA - Richmond Area,23112,Midlothian,Chesterfield County,57016,290,196.61
Central/East VA - Richmond Area,23233,Henrico,Henrico County,31582,163,193.75
Central/East VA - Richmond Area,23113,Midlothian,Chesterfield County,27477,171,160.68
Central/East VA - Richmond Area,23180,Water View,Middlesex County,479,3,159.67
Central/East VA - Richmond Area,23229,Henrico,Henrico County,35689,233,153.17
Central/East VA - Richmond Area,23236,Richmond,Chesterfield County,27903,185,150.83
Central/East VA - Richmond Area,23294,Henrico,Henrico County,20216,139,145.44
Central/East VA - Richmond Area,23235,Richmond,Chesterfield County,33461,265,126.27
Central/East VA - Richmond Area,23226,Richmond,Richmond city,15477,162,95.54
Central/East VA - Richmond Area,23130,Onemo,Mathews County,94,1,94.0
Central/East VA - Richmond Area,23056,Foster,Mathews County,175,2,87.5
Central/East VA - Richmond Area,23221,Richmond,Richmond city,14402,187,77.02
Central/East VA - Richmond Area,23106,Manquin,King William County,917,12,76.42
Central/East VA - Richmond Area,23220,Richmond,Richmond city,34671,467,74.24
Central/East VA - Richmond Area,23284,Richmond,Richmond city,2362,39,60.56
Central/East VA - Richmond Area,23230,Richmond,Henrico County,8910,231,38.57
Central/East VA - Richmond Area,23129,Oilville,Goochland County,305,9,33.89
Central/East VA - Richmond Area,23219,Richmond,Richmond city,4062,191,21.27
Central/East VA - Richmond Area,23298,Richmond,Richmond city,98,12,8.17
Central/East VA - Richmond Area,23173,Richmond,Richmond city,2107,289,7.29
Central/East VA - Southside/Central,23842,Disputanta,Prince George County,6924,1,6924.0
Central/East VA - Southside/Central,23824,Blackstone,Nottoway County,6455,1,6455.0
Central/East VA - Southside/Central,23924,Chase City,Mecklenburg County,5915,1,5915.0
Central/East VA - Southside/Central,23930,Crewe,Nottoway County,5508,1,5508.0
Central/East VA - Southside/Central,23927,Clarksville,Mecklenburg County,4809,1,4809.0
Central/East VA - Southside/Central,23974,Victoria,Lunenburg County,4582,1,4582.0
Central/East VA - Southside/Central,23885,Sutherland,Dinwiddie County,3193,1,3193.0
Central/East VA - Southside/Central,23841,Dinwiddie,Dinwiddie County,3021,1,3021.0
Central/East VA - Southside/Central,23936,Dillwyn,Buckingham County,7334,3,2444.67
Central/East VA - Southside/Central,23921,Buckingham,Buckingham County,2408,1,2408.0
Central/East VA - Southside/Central,23954,Meherrin,Prince Edward County,2396,1,2396.0
Central/East VA - Southside/Central,23837,Courtland,Southampton County,4623,2,2311.5
Central/East VA - Southside/Central,23919,Bracey,Mecklenburg County,2306,1,2306.0
Central/East VA - Southside/Central,23868,Lawrenceville,Brunswick County,6281,3,2093.67
Central/East VA - Southside/Central,23944,Kenbridge,Lunenburg County,3978,2,1989.0
Central/East VA - Southside/Central,23937,Drakes Branch,Charlotte County,1915,1,1915.0
Central/East VA - Southside/Central,23883,Surry,Surry County,1870,1,1870.0
Central/East VA - Southside/Central,23915,Baskerville,Mecklenburg County,1360,1,1360.0
Central/East VA - Southside/Central,23875,Prince George,Prince George County,13029,10,1302.9
Central/East VA - Southside/Central,23805,Petersburg,Prince George County,21408,18,1189.33
Central/East VA - Southside/Central,23860,Hopewell,Prince George County,31404,28,1121.57
Central/East VA - Southside/Central,23909,Farmville,Prince Edward County,1109,1,1109.0
Central/East VA - Southside/Central,23833,Church Road,Dinwiddie County,2212,2,1106.0
Central/East VA - Southside/Central,23960,Prospect,Prince Edward County,2176,2,1088.0
Central/East VA - Southside/Central,23847,Emporia,Greensville County,12956,12,1079.67
Central/East VA - Southside/Central,23867,Jarratt,Sussex County,5173,5,1034.6
Central/East VA - Southside/Central,23923,Charlotte Court House,Charlotte County,2063,2,1031.5
Central/East VA - Southside/Central,23851,Franklin,Southampton County,13237,14,945.5
