NAME,H1_001N,zip code tabulation area
ZCTA5 60189,12315,60189
ZCTA5 60190,4452,60190
ZCTA5 60191,5744,60191
ZCTA5 60192,5735,60192
ZCTA5 60193,16743,60193
ZCTA5 60194,7957,60194
ZCTA5 60195,2546,60195
ZCTA5 60201,19176,60201
ZCTA5 60202,15264,60202
ZCTA5 60203,1748,60203
ZCTA5 60208,22,60208
ZCTA5 60301,2271,60301
ZCTA5 60302,16493,60302
ZCTA5 60304,7189,60304
ZCTA5 60305,4263,60305
ZCTA5 60401,3274,60401
ZCTA5 60402,23665,60402
ZCTA5 60403,7805,60403
ZCTA5 60404,7461,60404
ZCTA5 60406,9937,60406
ZCTA5 60407,653,60407
ZCTA5 60408,2250,60408
ZCTA5 60409,16207,60409
ZCTA5 60410,4773,60410
ZCTA5 60411,20910,60411
ZCTA5 60415,5989,60415
ZCTA5 62949,394,62949
ZCTA5 62946,5974,62946
ZCTA5 62947,333,62947
ZCTA5 62948,6129,62948
ZCTA5 62950,84,62950
ZCTA5 62951,2500,62951
ZCTA5 62952,1416,62952
ZCTA5 62953,158,62953
ZCTA5 62954,215,62954
ZCTA5 62956,408,62956
ZCTA5 62957,392,62957
ZCTA5 62958,1070,62958
ZCTA5 62959,12989,62959
ZCTA5 62960,5189,62960
ZCTA5 62961,24,62961
ZCTA5 62962,12,62962
ZCTA5 62963,280,62963
ZCTA5 62964,671,62964
ZCTA5 62965,54,62965
ZCTA5 62966,7209,62966
ZCTA5 62967,142,62967
ZCTA5 62969,191,62969
ZCTA5 62970,314,62970
ZCTA5 62972,675,62972
ZCTA5 62974,661,62974
ZCTA5 62975,141,62975
ZCTA5 62976,215,62976
ZCTA5 62977,319,62977
ZCTA5 62979,571,62979
ZCTA5 62982,617,62982
ZCTA5 62983,729,62983
ZCTA5 62984,804,62984
ZCTA5 62985,503,62985
ZCTA5 62987,613,62987
ZCTA5 62988,666,62988
ZCTA5 62990,496,62990
ZCTA5 62992,435,62992
ZCTA5 62994,311,62994
ZCTA5 62995,1797,62995
ZCTA5 62996,283,62996
ZCTA5 62997,276,62997
ZCTA5 62998,184,62998
ZCTA5 62999,766,62999
ZCTA5 63005,6912,63005
ZCTA5 63010,14558,63010
ZCTA5 74333,494,74333
ZCTA5 74337,2084,74337
ZCTA5 74338,2099,74338
ZCTA5 74339,1019,74339
ZCTA5 74340,176,74340
ZCTA5 74342,2173,74342
ZCTA5 74343,1478,74343
ZCTA5 74344,8439,74344
ZCTA5 74346,3688,74346
ZCTA5 74347,1302,74347
ZCTA5 74349,770,74349
ZCTA5 74350,507,74350
ZCTA5 74352,2811,74352
ZCTA5 74354,7719,74354
ZCTA5 74358,108,74358
ZCTA5 74359,107,74359
ZCTA5 74360,5,74360
ZCTA5 74361,7247,74361
ZCTA5 74363,1144,74363
ZCTA5 74364,730,74364
ZCTA5 74365,2074,74365
ZCTA5 74366,792,74366
ZCTA5 74367,330,74367
ZCTA5 74368,30,74368
ZCTA5 74369,795,74369
ZCTA5 74370,1777,74370
ZCTA5 74401,7678,74401
ZCTA5 74403,13441,74403
ZCTA5 74421,1928,74421
ZCTA5 74422,315,74422
ZCTA5 74423,459,74423
ZCTA5 74425,712,74425
ZCTA5 74426,5857,74426
ZCTA5 74427,1174,74427
ZCTA5 74428,397,74428
ZCTA5 74429,6296,74429
ZCTA5 74430,225,74430
ZCTA5 63011,15317,63011
ZCTA5 63012,3925,63012
ZCTA5 63013,690,63013
ZCTA5 63014,351,63014
ZCTA5 63015,946,63015
ZCTA5 63016,3238,63016
ZCTA5 63017,18209,63017
ZCTA5 63019,1917,63019
ZCTA5 63020,8777,63020
ZCTA5 63021,23270,63021
ZCTA5 63023,2141,63023
ZCTA5 63025,6343,63025
ZCTA5 74133,22486,74133
ZCTA5 74130,1012,74130
ZCTA5 74131,1185,74131
ZCTA5 74132,4989,74132
ZCTA5 74134,9194,74134
ZCTA5 74135,11095,74135
ZCTA5 74136,16241,74136
ZCTA5 74137,12166,74137
ZCTA5 74145,8709,74145
ZCTA5 74146,6381,74146
ZCTA5 74171,7,74171
ZCTA5 74301,4682,74301
ZCTA5 74330,1198,74330
ZCTA5 74331,6023,74331
ZCTA5 74332,841,74332
ZCTA5 74431,373,74431
ZCTA5 74432,6282,74432
ZCTA5 74434,3711,74434
ZCTA5 74435,1735,74435
ZCTA5 74436,1954,74436
ZCTA5 74571,1746,74571
ZCTA5 74567,81,74567
ZCTA5 74569,282,74569
ZCTA5 74570,574,74570
ZCTA5 74572,301,74572
ZCTA5 74574,571,74574
ZCTA5 74576,94,74576
ZCTA5 74577,114,74577
ZCTA5 74578,2799,74578
ZCTA5 74601,9102,74601
ZCTA5 74604,5588,74604
ZCTA5 74630,269,74630
ZCTA5 74631,3493,74631
ZCTA5 74632,261,74632
ZCTA5 74633,194,74633
ZCTA5 74636,111,74636
ZCTA5 74637,814,74637
ZCTA5 74640,156,74640
ZCTA5 74641,474,74641
ZCTA5 74643,293,74643
ZCTA5 74644,215,74644
ZCTA5 74646,91,74646
ZCTA5 74647,1610,74647
ZCTA5 74650,287,74650
ZCTA5 74651,292,74651
ZCTA5 74652,372,74652
ZCTA5 74653,1568,74653
ZCTA5 74701,10781,74701
ZCTA5 74720,209,74720
ZCTA5 74721,14,74721
ZCTA5 74722,96,74722
ZCTA5 74723,742,74723
ZCTA5 74724,90,74724
ZCTA5 74726,1088,74726
ZCTA5 74727,925,74727
ZCTA5 74728,4940,74728
ZCTA5 74729,1238,74729
ZCTA5 74730,2207,74730
ZCTA5 74731,833,74731
ZCTA5 74733,1227,74733
ZCTA5 74734,384,74734
ZCTA5 74735,902,74735
ZCTA5 74736,399,74736
ZCTA5 74737,32,74737
ZCTA5 74738,216,74738
ZCTA5 74740,905,74740
ZCTA5 74741,406,74741
ZCTA5 74743,4111,74743
ZCTA5 74745,4315,74745
ZCTA5 74747,126,74747
ZCTA5 74748,304,74748
ZCTA5 74750,85,74750
ZCTA5 74753,30,74753
ZCTA5 74754,180,74754
ZCTA5 74755,60,74755
ZCTA5 74756,385,74756
ZCTA5 74759,531,74759
ZCTA5 75453,1601,75453
ZCTA5 75450,144,75450
ZCTA5 75451,718,75451
ZCTA5 75452,1951,75452
ZCTA5 75454,5274,75454
ZCTA5 75455,10343,75455
ZCTA5 75457,2872,75457
ZCTA5 75459,2124,75459
ZCTA5 75460,10927,75460
ZCTA5 75462,4990,75462
ZCTA5 75468,451,75468
ZCTA5 75469,197,75469
ZCTA5 75470,108,75470
ZCTA5 75471,564,75471
ZCTA5 75472,1880,75472
ZCTA5 75473,1655,75473
ZCTA5 75474,7066,75474
ZCTA5 75475,62,75475
ZCTA5 75476,596,75476
ZCTA5 75477,413,75477
ZCTA5 75478,423,75478
ZCTA5 75479,842,75479
ZCTA5 75480,1013,75480
ZCTA5 75481,175,75481
ZCTA5 75482,10954,75482
ZCTA5 75486,1102,75486
ZCTA5 75487,686,75487
ZCTA5 75488,562,75488
ZCTA5 75489,452,75489
ZCTA5 75490,1118,75490
ZCTA5 75491,2190,75491
ZCTA5 75492,283,75492
ZCTA5 75493,170,75493
ZCTA5 75494,5281,75494
ZCTA5 75495,3485,75495
ZCTA5 75496,1495,75496
ZCTA5 75497,2186,75497
ZCTA5 75501,15411,75501
ZCTA5 75503,11229,75503
ZCTA5 75550,389,75550
ZCTA5 75551,4792,75551
ZCTA5 75554,785,75554
ZCTA5 75555,800,75555
ZCTA5 75556,494,75556
ZCTA5 75558,586,75558
ZCTA5 75559,2673,75559
ZCTA5 75560,472,75560
ZCTA5 75561,2262,75561
ZCTA5 75562,63,75562
ZCTA5 75563,1978,75563
ZCTA5 75564,4,75564
ZCTA5 75565,56,75565
ZCTA5 75566,397,75566
ZCTA5 75567,1637,75567
ZCTA5 75568,1477,75568
ZCTA5 75569,1507,75569
ZCTA5 75570,3853,75570
ZCTA5 77447,7176,77447
ZCTA5 77444,436,77444
ZCTA5 77445,5858,77445
ZCTA5 77446,640,77446
ZCTA5 77448,176,77448
ZCTA5 77449,40123,77449
ZCTA5 77450,26223,77450
ZCTA5 77451,225,77451
ZCTA5 77453,67,77453
ZCTA5 77454,77,77454
ZCTA5 77455,729,77455
ZCTA5 77456,503,77456
ZCTA5 77457,836,77457
ZCTA5 77458,138,77458
ZCTA5 77459,27472,77459
ZCTA5 77460,28,77460
ZCTA5 77461,4317,77461
ZCTA5 77464,206,77464
ZCTA5 77465,3796,77465
ZCTA5 77466,204,77466
ZCTA5 77467,17,77467
ZCTA5 77468,7,77468
ZCTA5 77469,20489,77469
ZCTA5 77470,135,77470
ZCTA5 77471,15295,77471
ZCTA5 77473,23,77473
ZCTA5 77474,5758,77474
ZCTA5 77475,456,77475
ZCTA5 77476,242,77476
ZCTA5 77477,14350,77477
