ZIP,City,County,Population
64154,Kansas City,Platte County,"13,851"
65560,Salem,Dent County,"13,822"
65806,Springfield,Greene County,"13,692"
63051,House Springs,Jefferson County,"13,436"
63841,Dexter,Stoddard County,"13,191"
63080,Sullivan,Franklin County,"13,124"
63134,Saint Louis,St. Louis County,"13,059"
65708,Monett,Barry County,"12,869"
64772,Nevada,Vernon County,"12,824"
64113,Kansas City,Jackson County,"12,386"
63670,Sainte Genevieve,Ste. Genevieve County,"12,293"
64601,Chillicothe,Livingston County,"12,189"
64075,Oak Grove,Jackson County,"12,121"
64132,Kansas City,Jackson County,"12,084"
64503,Saint Joseph,Buchanan County,"11,954"
63857,Kennett,Dunklin County,"11,930"
64128,Kansas City,Jackson County,"11,912"
64123,Kansas City,Jackson County,"11,833"
65026,Eldon,Miller County,"11,606"
63645,Fredericktown,Madison County,"11,554"
65605,Aurora,Barry County,"11,514"
64429,Cameron,DeKalb County,"11,449"
65355,Warsaw,Benton County,"11,436"
63077,Saint Clair,Franklin County,"11,391"
65809,Springfield,Greene County,"11,384"
64106,Kansas City,Jackson County,"11,343"
63390,Wright City,Warren County,"10,970"
64124,Kansas City,Jackson County,"10,925"
63124,Saint Louis,St. Louis County,"10,839"
64501,Saint Joseph,Buchanan County,"10,689"
65233,Boonville,Cooper County,"10,640"
64834,Carl Junction,Jasper County,"10,586"
65584,Saint Robert,Pulaski County,"10,553"
64108,Kansas City,Jackson County,"10,495"
63348,Foristell,St. Charles County,"10,394"
63044,Bridgeton,St. Louis County,"10,324"
63012,Barnhart,Jefferson County,"10,314"
63113,Saint Louis,St. Louis city,"10,221"
65043,Holts Summit,Callaway County,"10,120"
64504,Saint Joseph,Buchanan County,"10,068"
64109,Kansas City,Jackson County,"10,043"
63362,Moscow Mills,Lincoln County,"9,930"
64078,Peculiar,Cass County,"9,853"
63664,Potosi,Washington County,"9,693"
65781,Willard,Greene County,"9,692"
64076,Odessa,Lafayette County,"9,623"
63144,Saint Louis,St. Louis County,"9,505"
65619,Brookline,Greene County,"9,453"
64137,Kansas City,Jackson County,"9,422"
65746,Seymour,Webster County,"9,336"
65559,Saint James,Phelps County,"9,303"
64129,Kansas City,Jackson County,"9,267"
63117,Saint Louis,St. Louis County,"9,261"
65712,Mount Vernon,Lawrence County,"9,015"
64034,Greenwood,Jackson County,"8,998"
63143,Saint Louis,St. Louis County,"8,975"
63107,Saint Louis,St. Louis city,"8,909"
65240,Centralia,Audrain County,"8,830"
63103,Saint Louis,St. Louis city,"8,778"
65737,Reeds Spring,Stone County,"8,745"
65622,Buffalo,Dallas County,"8,695"
65757,Strafford,Greene County,"8,584"
65459,Dixon,Maries County,"8,562"
65608,Ava,Douglas County,"8,545"
63040,Wildwood,St. Louis County,"8,526"
65672,Hollister,Taney County,"8,432"
63070,Pevely,Jefferson County,"8,428"
64759,Lamar,Barton County,"8,310"
64112,Kansas City,Jackson County,"8,260"
64744,El Dorado Springs,Cedar County,"8,242"
63088,Valley Park,St. Louis County,"8,226"
63703,Cape Girardeau,Cape Girardeau County,"8,201"
65453,Cuba,Crawford County,"8,175"
63147,Saint Louis,St. Louis city,"8,173"
65711,Mountain Grove,Wright County,"8,106"
64485,Savannah,Andrew County,"7,998"
64156,Kansas City,Clay County,"7,946"
63935,Doniphan,Ripley County,"7,931"
64085,Richmond,Ray County,"7,855"
65018,California,Moniteau County,"7,748"
64683,Trenton,Grundy County,"7,631"
63389,Winfield,Lincoln County,"7,616"
63334,Bowling Green,Pike County,"7,564"
63552,Macon,Macon County,"7,554"
65084,Versailles,Morgan County,"7,473"
65625,Cassville,Barry County,"7,473"
64158,Kansas City,Clay County,"7,317"
65010,Ashland,Boone County,"7,205"
65065,Osage Beach,Camden County,"7,197"
65049,Lake Ozark,Camden County,"7,123"
63038,Wildwood,St. Louis County,"7,107"
65542,Licking,Texas County,"7,060"
64062,Lawson,Ray County,"6,968"
64126,Kansas City,Jackson County,"6,898"
63120,Saint Louis,St. Louis city,"6,790"
64053,Independence,Jackson County,"6,775"
63106,Saint Louis,St. Louis city,"6,751"
64058,Independence,Jackson County,"6,660"
64153,Kansas City,Platte County,"6,653"
63133,Saint Louis,St. Louis County,"6,569"
63357,Marthasville,Warren County,"6,536"
65336,Knob Noster,Johnson County,"6,519"
64037,Higginsville,Lafayette County,"6,460"
63016,Cedar Hill,Jefferson County,"6,459"
64730,Butler,Bates County,"6,432"
65548,Mountain View,Howell County,"6,388"
64040,Holden,Johnson County,"6,379"
64105,Kansas City,Jackson County,"6,312"
63780,Scott City,Scott County,"6,243"
64831,Anderson,McDonald County,"6,206"
63068,New Haven,Franklin County,"6,202"
65631,Clever,Christian County,"6,174"
65066,Owensville,Gasconade County,"6,140"
63830,Caruthersville,Pemiscot County,"6,118"
65793,Willow Springs,Howell County,"6,004"
65785,Stockton,Cedar County,"6,002"
