Zip,Population,Count,Density,Region
23316,91,0,0.0,Central/East VA - Hampton Roads/Tidewater
23320,59108,389,65.8117,Central/East VA - Hampton Roads/Tidewater
23321,40176,111,27.6284,Central/East VA - Hampton Roads/Tidewater
23322,66956,198,29.5717,Central/East VA - Hampton Roads/Tidewater
23323,43043,97,22.5356,Central/East VA - Hampton Roads/Tidewater
23324,24670,30,12.1605,Central/East VA - Hampton Roads/Tidewater
23325,19138,18,9.4054,Central/East VA - Hampton Roads/Tidewater
23336,3319,4,12.0518,Central/East VA - Hampton Roads/Tidewater
23337,666,0,0.0,Central/East VA - Hampton Roads/Tidewater
23347,502,0,0.0,Central/East VA - Hampton Roads/Tidewater
23350,2983,0,0.0,Central/East VA - Hampton Roads/Tidewater
23354,433,1,23.0947,Central/East VA - Hampton Roads/Tidewater
23356,1628,1,6.1425,Central/East VA - Hampton Roads/Tidewater
23357,890,0,0.0,Central/East VA - Hampton Roads/Tidewater
23358,236,0,0.0,Central/East VA - Hampton Roads/Tidewater
23359,940,0,0.0,Central/East VA - Hampton Roads/Tidewater
23389,92,0,0.0,Central/East VA - Hampton Roads/Tidewater
23395,466,0,0.0,Central/East VA - Hampton Roads/Tidewater
23398,27,0,0.0,Central/East VA - Hampton Roads/Tidewater
23401,288,4,138.8889,Central/East VA - Hampton Roads/Tidewater
23405,1237,0,0.0,Central/East VA - Hampton Roads/Tidewater
23407,270,0,0.0,Central/East VA - Hampton Roads/Tidewater
23409,109,0,0.0,Central/East VA - Hampton Roads/Tidewater
23410,2305,1,4.3384,Central/East VA - Hampton Roads/Tidewater
23413,776,1,12.8866,Central/East VA - Hampton Roads/Tidewater
23414,26,1,384.6154,Central/East VA - Hampton Roads/Tidewater
23415,2289,3,13.1062,Central/East VA - Hampton Roads/Tidewater
23416,96,0,0.0,Central/East VA - Hampton Roads/Tidewater
23417,3827,4,10.4521,Central/East VA - Hampton Roads/Tidewater
23418,753,2,26.5604,Central/East VA - Hampton Roads/Tidewater
23420,2673,0,0.0,Central/East VA - Hampton Roads/Tidewater
23421,4290,2,4.662,Central/East VA - Hampton Roads/Tidewater
23422,202,0,0.0,Central/East VA - Hampton Roads/Tidewater
23423,219,0,0.0,Central/East VA - Hampton Roads/Tidewater
23426,37,0,0.0,Central/East VA - Hampton Roads/Tidewater
23427,218,1,45.8716,Central/East VA - Hampton Roads/Tidewater
23430,19109,32,16.746,Central/East VA - Hampton Roads/Tidewater
23432,1180,25,211.8644,Central/East VA - Hampton Roads/Tidewater
23433,1391,8,57.5126,Central/East VA - Hampton Roads/Tidewater
23434,54387,85,15.6287,Central/East VA - Hampton Roads/Tidewater
23435,33721,91,26.9862,Central/East VA - Hampton Roads/Tidewater
23436,882,15,170.068,Central/East VA - Hampton Roads/Tidewater
23437,5023,1,1.9908,Central/East VA - Hampton Roads/Tidewater
23438,1749,2,11.4351,Central/East VA - Hampton Roads/Tidewater
23440,252,0,0.0,Central/East VA - Hampton Roads/Tidewater
23442,488,0,0.0,Central/East VA - Hampton Roads/Tidewater
23451,44012,262,59.5292,Central/East VA - Hampton Roads/Tidewater
23452,58455,399,68.2576,Central/East VA - Hampton Roads/Tidewater
23453,34482,96,27.8406,Central/East VA - Hampton Roads/Tidewater
23454,58178,199,34.2054,Central/East VA - Hampton Roads/Tidewater
23455,49977,133,26.6122,Central/East VA - Hampton Roads/Tidewater
23456,61911,147,23.7438,Central/East VA - Hampton Roads/Tidewater
23457,4814,13,27.0046,Central/East VA - Hampton Roads/Tidewater
23459,1324,2,15.1057,Central/East VA - Hampton Roads/Tidewater
23460,1041,12,115.2738,Central/East VA - Hampton Roads/Tidewater
23461,943,5,53.0223,Central/East VA - Hampton Roads/Tidewater
23462,66151,279,42.1762,Central/East VA - Hampton Roads/Tidewater
23464,75061,342,45.5629,Central/East VA - Hampton Roads/Tidewater
23480,338,0,0.0,Central/East VA - Hampton Roads/Tidewater
23486,278,0,0.0,Central/East VA - Hampton Roads/Tidewater
23487,6477,5,7.7196,Central/East VA - Hampton Roads/Tidewater
23488,62,0,0.0,Central/East VA - Hampton Roads/Tidewater
23502,20399,140,68.6308,Central/East VA - Hampton Roads/Tidewater
23503,30216,65,21.5118,Central/East VA - Hampton Roads/Tidewater
23504,23502,43,18.2963,Central/East VA - Hampton Roads/Tidewater
23505,28247,42,14.8688,Central/East VA - Hampton Roads/Tidewater
23507,6645,50,75.2445,Central/East VA - Hampton Roads/Tidewater
23508,19432,69,35.5084,Central/East VA - Hampton Roads/Tidewater
23509,13105,14,10.6829,Central/East VA - Hampton Roads/Tidewater
23510,9190,198,215.4516,Central/East VA - Hampton Roads/Tidewater
23511,9664,4,4.1391,Central/East VA - Hampton Roads/Tidewater
23513,28628,48,16.7668,Central/East VA - Hampton Roads/Tidewater
23517,4932,75,152.0681,Central/East VA - Hampton Roads/Tidewater
